U111,S201,A304,1495130523,1465230523,1465130523,AP,ST405,1,1,0
U107,S205,A303,1465230523,1485130523,1465130523,A,ST410,3,0,0
U105,S201,A300,1475130523,1465130523,1485130523,A,ST405,0,0,1
U106,S209,A303,1465230523,1465230523,1465230523,E,ST401,1,1,1
U111,S206,A304,1475130523,1485130523,1485130523,A,ST400,1,0,0
,S201,,1465130523,1475130523,1475130523,AP,ST411,1,1,1
U114,S209,A301,1475130523,1465230523,1475130523,A,ST414,2,0,1
U106,S203,A303,1475130523,1475130523,1485130523,U,ST413,3,0,1
U118,S210,A300,1465230523,1485130523,1465130523,,ST408,1,1,0
U105,S201,A301,1475130523,1485130523,1465230523,A,ST403,1,0,1
U112,S201,A302,1475130523,1465230523,1475130523,AP,ST406,2,0,0
U118,S204,A305,1475130523,1465230523,1485130523,E,ST400,0,0,0
U120,S202,A305,1465130523,1485130523,1465130523,E,ST410,1,0,1
U113,S204,A305,1495130523,1465130523,1465130523,AU,ST411,2,1,0
U102,S206,A300,1495130523,1475130523,1475130523,AP,ST404,1,0,1
U114,S205,A305,1465230523,1465130523,1465230523,E,ST413,1,1,0
U117,S205,,1465230523,1475130523,1465230523,U,ST401,3,1,1
U115,S207,A300,1495130523,1465130523,1465130523,E,ST407,3,0,0
U115,S205,A303,1495130523,1485130523,1465130523,U,ST414,0,0,1
U117,S202,A300,1475130523,1485130523,1465130523,AU,ST400,1,0,0
,S206,A304,1465230523,1465130523,1465230523,,ST400,1,1,1
U117,S201,A302,1495130523,1485130523,1465130523,E,ST414,0,0,0
U117,S202,A301,1465130523,1465130523,1465130523,U,ST411,0,0,0
U117,S202,A303,1465230523,1465130523,1485130523,AP,ST404,0,0,1
U111,S202,A303,1465130523,1465230523,1465230523,E,ST401,1,1,1
U117,S210,A303,1495130523,1475130523,1475130523,AP,ST413,0,1,1
U109,S203,A303,1495130523,1475130523,1465230523,E,ST413,0,0,1
U116,S206,,1465230523,1475130523,1465130523,AP,ST412,0,1,1
U114,S207,A303,1465130523,1475130523,1485130523,AP,ST411,0,1,0
U110,S200,A301,1465230523,1475130523,1475130523,E,ST406,0,1,0
U111,S203,A300,1495130523,1475130523,1465130523,U,ST412,2,1,0
U116,S207,A301,1465130523,1465230523,1465230523,U,ST414,3,1,0
U114,S200,A302,1465230523,1485130523,1465130523,,ST406,1,0,1
U100,S203,A300,1475130523,1465230523,1465230523,A,ST402,0,0,0
U105,S200,A305,1495130523,1475130523,1485130523,A,ST411,2,1,1
,S207,A303,1465230523,1485130523,1465230523,A,ST403,2,0,1
U100,S202,A302,1465230523,1485130523,1485130523,E,ST405,1,1,1
U115,S205,A302,1465230523,1475130523,1465130523,AU,ST401,3,1,0
U111,S203,,1475130523,1475130523,1465230523,A,ST410,1,1,1
U111,S204,A305,1495130523,1475130523,1465230523,A,ST410,2,0,0
U104,S202,A303,1475130523,1465130523,1465230523,U,ST410,0,1,0
U112,S204,A302,1475130523,1485130523,1475130523,AP,ST406,3,0,0
U117,S200,A300,1495130523,1485130523,1485130523,A,ST407,1,1,1
U116,S201,A303,1495130523,1475130523,1465230523,A,ST405,1,1,1
U113,S204,A303,1465230523,1475130523,1465230523,,ST403,3,1,1
U107,S206,A304,1475130523,1475130523,1475130523,U,ST401,2,1,0
U104,S208,A302,1475130523,1485130523,1475130523,A,ST409,3,0,0
U108,S208,A302,1495130523,1465130523,1465230523,A,ST403,1,1,1
U116,S206,A302,1465230523,1465230523,1475130523,E,ST414,0,0,1
U116,S208,,1475130523,1475130523,1465230523,A,ST415,2,0,0
,S205,A305,1465130523,1485130523,1485130523,U,ST401,1,0,0
U106,S207,A302,1465230523,1475130523,1465130523,AP,ST410,1,1,0
U116,S206,A304,1465130523,1475130523,1485130523,AU,ST407,1,1,1
U107,S201,A301,1465230523,1465230523,1465230523,E,ST412,1,1,1
U120,S208,A304,1465130523,1475130523,1465130523,AP,ST409,1,1,1
U109,S203,A305,1465230523,1485130523,1485130523,E,ST407,3,1,1
U112,S202,A305,1465230523,1465230523,1465130523,,ST411,0,0,1
U111,S209,A302,1475130523,1465130523,1465130523,E,ST411,3,0,0
U107,S202,A301,1465130523,1465230523,1465230523,AU,ST409,0,1,0
U114,S206,A303,1465230523,1465130523,1475130523,U,ST410,0,1,0
U106,S203,,1465130523,1475130523,1465130523,E,ST404,3,0,0
U110,S205,A304,1465130523,1485130523,1485130523,A,ST414,0,0,0
U109,S206,A303,1465230523,1465230523,1465130523,A,ST408,0,0,1
U105,S206,A304,1475130523,1475130523,1485130523,U,ST415,0,1,1
U103,S204,A305,1475130523,1485130523,1485130523,AU,ST413,3,0,0
,S201,A304,1495130523,1475130523,1465130523,U,ST407,0,0,1
U101,S206,A304,1495130523,1465130523,1465230523,AP,ST400,2,0,1
U106,S210,A301,1475130523,1475130523,1465130523,AU,ST404,0,1,0
U100,S210,A300,1495130523,1465130523,1465230523,,ST400,1,1,0
U105,S200,A301,1495130523,1465130523,1475130523,E,ST408,0,1,0
U119,S206,A300,1495130523,1475130523,1475130523,U,ST415,2,1,1
